"...1","Year.x","Month.x","State","Data Status","Thousand Dollars","Megawatthours","Count","Cents/kWh","DATE","oil_emp(thousands)","U.S. Field Production of Crude Oil Thousand Barrels per Day","Labor Force Participation","Employment-Population Rate","Unemployment Rate"
49,2023,12,"WI","Preliminary",715578.63,5751100.6,3207875,12.44,2023-12-01,118.1,13295,65.9,63.7,3.4
50,2023,12,"WV","Preliminary",303831.49,2977387.8,1028895,10.2,2023-12-01,118.1,13295,55.2,52.8,4.3
51,2023,12,"WY","Preliminary",127790.73,1562456.9,356952,8.18,2023-12-01,118.1,13295,63.6,61.7,2.9
52,2023,11,"AK","Preliminary",110382.22,506726.4,357271,21.78,2023-11-01,117.4,13295,65.3,62.3,4.6
53,2023,11,"AL","Preliminary",741639.68,6391999,2770608,11.6,2023-11-01,117.4,13295,57.5,55.9,2.8
54,2023,11,"AR","Preliminary",339055.82,3651227.7,1717623,9.29,2023-11-01,117.4,13295,57.6,55.4,3.7
55,2023,11,"AZ","Preliminary",669935.82,5615365.5,3414506,11.93,2023-11-01,117.4,13295,62.3,59.6,4.2
56,2023,11,"CA","Preliminary",4479173.1,18378734,15673653,24.37,2023-11-01,117.4,13295,62,58.8,5.1
57,2023,11,"CO","Preliminary",484662.38,4150445,2878393,11.68,2023-11-01,117.4,13295,68.3,66,3.3
58,2023,11,"CT","Preliminary",467001.65,2081744.9,1703096,22.43,2023-11-01,117.4,13295,64.3,61.6,4.2
59,2023,11,"DC","Preliminary",123607.9,763990.57,342495,16.18,2023-11-01,117.4,13295,72,68.5,4.9
60,2023,11,"DE","Preliminary",102226.16,759319.72,522991,13.46,2023-11-01,117.4,13295,60.9,58.4,4.1
61,2023,11,"FL","Preliminary",2412367.1,17961973,11575227,13.43,2023-11-01,117.4,13295,59.5,57.7,3.1
62,2023,11,"GA","Preliminary",1148821.6,10513728,5398154,10.93,2023-11-01,117.4,13295,61.5,59.6,3.2
63,2023,11,"HI","Preliminary",302782.67,759718.7,506671,39.85,2023-11-01,117.4,13295,60.1,58.3,3
64,2023,11,"IA","Preliminary",365730.09,4230534.3,1714853,8.65,2023-11-01,117.4,13295,67.4,65.4,3.1
65,2023,11,"ID","Preliminary",177118.25,1877548.3,1002035,9.43,2023-11-01,117.4,13295,62.8,60.7,3.3
66,2023,11,"IL","Preliminary",1168631.8,10014821,6061673,11.67,2023-11-01,117.4,13295,64.5,61.5,4.7
67,2023,11,"IN","Preliminary",830264.72,7577209.3,3367531,10.96,2023-11-01,117.4,13295,63.2,61,3.5
68,2023,11,"KS","Preliminary",322872.68,3080069.1,1604466,10.48,2023-11-01,117.4,13295,66.3,64.6,2.6
69,2023,11,"KY","Preliminary",535373.41,5414726.3,2355718,9.89,2023-11-01,117.4,13295,57,54.5,4.3
70,2023,11,"LA","Preliminary",599760.69,6974830,2483944,8.6,2023-11-01,117.4,13295,58.6,56.3,4
71,2023,11,"MA","Preliminary",849368,3803026.7,3351416,22.33,2023-11-01,117.4,13295,64.9,62.8,3.3
72,2023,11,"MD","Preliminary",646677.99,4434783.7,2707669,14.58,2023-11-01,117.4,13295,65.2,63.7,2.2
73,2023,11,"ME","Preliminary",194759.17,895518.8,851256,21.75,2023-11-01,117.4,13295,59.4,57.3,3.4
74,2023,11,"MI","Preliminary",1046597.3,7653590.3,5080086,13.67,2023-11-01,117.4,13295,62.3,59.7,4.1
75,2023,11,"MN","Preliminary",602985.3,5191820.9,2895263,11.61,2023-11-01,117.4,13295,68.1,66.2,2.7
76,2023,11,"MO","Preliminary",583075.95,5718635.6,3231616,10.2,2023-11-01,117.4,13295,63.1,61.1,3.3
77,2023,11,"MS","Preliminary",387100.4,3597138.2,1618323,10.76,2023-11-01,117.4,13295,53.8,52.1,3.2
78,2023,11,"MT","Preliminary",136003.39,1243496.3,681743,10.94,2023-11-01,117.4,13295,63.1,61,3.3
79,2023,11,"NC","Preliminary",1153223.3,10639434,5764350,10.84,2023-11-01,117.4,13295,60.8,58.7,3.6
80,2023,11,"ND","Preliminary",198843.72,2563967.9,482871,7.76,2023-11-01,117.4,13295,69,67.7,1.9
81,2023,11,"NE","Preliminary",229380.36,2563091.5,1128382,8.95,2023-11-01,117.4,13295,68.9,67.2,2.5
82,2023,11,"NH","Preliminary",177993.78,827479.52,761499,21.51,2023-11-01,117.4,13295,65.1,63.4,2.6
83,2023,11,"NJ","Preliminary",776272.82,5209224,4263879,14.9,2023-11-01,117.4,13295,64.8,61.7,4.8
84,2023,11,"NM","Preliminary",213027.32,2194533.6,1070162,9.71,2023-11-01,117.4,13295,57.3,55,4
85,2023,11,"NV","Preliminary",331048.02,2751004.1,1470640,12.03,2023-11-01,117.4,13295,62.9,59.5,5.3
86,2023,11,"NY","Preliminary",2011019.1,10964501,8573822,18.34,2023-11-01,117.4,13295,61.4,58.6,4.6
87,2023,11,"OH","Preliminary",1281872.3,11552226,5738139,11.1,2023-11-01,117.4,13295,61.8,59.5,3.6
88,2023,11,"OK","Preliminary",445325.67,5013480.1,2199821,8.88,2023-11-01,117.4,13295,63.2,61,3.5
89,2023,11,"OR","Preliminary",464426.94,4485758.5,2131575,10.35,2023-11-01,117.4,13295,62.5,60,4
90,2023,11,"PA","Preliminary",1347687.9,10716296,6268637,12.58,2023-11-01,117.4,13295,62.3,60.2,3.4
91,2023,11,"RI","Preliminary",132617.17,551748.4,519168,24.04,2023-11-01,117.4,13295,63.7,61.5,3.4
92,2023,11,"SC","Preliminary",625551.06,5905599,2974582,10.59,2023-11-01,117.4,13295,57.3,55.6,3
93,2023,11,"SD","Preliminary",107525.8,1054895.9,513863,10.19,2023-11-01,117.4,13295,68,66.6,2.1
94,2023,11,"TN","Preliminary",781680.45,7254727.5,3578629,10.77,2023-11-01,117.4,13295,59.6,57.5,3.5
95,2023,11,"TX","Preliminary",3387038.4,35828726,14085316,9.45,2023-11-01,117.4,13295,64.3,61.8,3.9
96,2023,11,"UT","Preliminary",223097.44,2558582.4,1360881,8.72,2023-11-01,117.4,13295,69.5,67.6,2.8
97,2023,11,"VA","Preliminary",1103211.7,10357728,4105712,10.65,2023-11-01,117.4,13295,66.5,64.5,3.1
98,2023,11,"VT","Preliminary",78656.8,438227.72,383028,17.95,2023-11-01,117.4,13295,65,63.5,2.3
99,2023,11,"WA","Preliminary",711923.1,7332643.3,3751321,9.71,2023-11-01,117.4,13295,64.3,61.4,4.4
100,2023,11,"WI","Preliminary",666910.64,5380158,3207178,12.4,2023-11-01,117.4,13295,66,63.8,3.4
101,2023,11,"WV","Preliminary",283764.46,2655232.3,1027908,10.69,2023-11-01,117.4,13295,55.2,52.8,4.3
102,2023,11,"WY","Preliminary",120448.95,1445079,356721,8.34,2023-11-01,117.4,13295,63.6,61.8,2.9
103,2023,10,"AK","Preliminary",103241.84,488871.72,357720,21.12,2023-10-01,117.8,13219,65.3,62.3,4.6
104,2023,10,"AL","Preliminary",748379.22,6516622.5,2772136,11.48,2023-10-01,117.8,13219,57.5,55.9,2.8
105,2023,10,"AR","Preliminary",377816.1,3835568,1719086,9.85,2023-10-01,117.8,13219,57.6,55.5,3.7
106,2023,10,"AZ","Preliminary",852252.5,6987365.6,3404126,12.2,2023-10-01,117.8,13219,62.3,59.7,4.2
107,2023,10,"CA","Preliminary",4934481.9,20282414,15964786,24.33,2023-10-01,117.8,13219,62.1,58.9,5.1
108,2023,10,"CO","Preliminary",515713.58,4456301.6,2874327,11.57,2023-10-01,117.8,13219,68.4,66.1,3.3
109,2023,10,"CT","Preliminary",466824.09,2015091.9,1708199,23.17,2023-10-01,117.8,13219,64.3,61.6,4.2
110,2023,10,"DC","Preliminary",132817.78,755883.1,341722,17.57,2023-10-01,117.8,13219,72.1,68.6,4.9
111,2023,10,"DE","Preliminary",110237.91,830330.47,525605,13.28,2023-10-01,117.8,13219,61,58.5,4.1
112,2023,10,"FL","Preliminary",2850590.6,20985835,11562072,13.58,2023-10-01,117.8,13219,59.6,57.8,3.1
113,2023,10,"GA","Preliminary",1183295.8,10749087,5394066,11.01,2023-10-01,117.8,13219,61.6,59.6,3.2
114,2023,10,"HI","Preliminary",307267.95,793859.68,506597,38.71,2023-10-01,117.8,13219,60.1,58.3,3
115,2023,10,"IA","Preliminary",378551.32,4392488.5,1714035,8.62,2023-10-01,117.8,13219,67.5,65.4,3.1
116,2023,10,"ID","Preliminary",167659.11,1789903.5,1000368,9.37,2023-10-01,117.8,13219,62.9,60.8,3.3
117,2023,10,"IL","Preliminary",1176094.4,10097301,6094303,11.65,2023-10-01,117.8,13219,64.5,61.4,4.8
118,2023,10,"IN","Preliminary",825536.98,7403204.9,3367015,11.15,2023-10-01,117.8,13219,63.3,61.1,3.5
119,2023,10,"KS","Preliminary",337945.32,3131100.1,1602675,10.79,2023-10-01,117.8,13219,66.3,64.6,2.6
120,2023,10,"KY","Preliminary",537882.33,5423445.1,2354143,9.92,2023-10-01,117.8,13219,57,54.6,4.3
121,2023,10,"LA","Preliminary",710715.06,7975828.9,2492010,8.91,2023-10-01,117.8,13219,58.6,56.3,4
122,2023,10,"MA","Preliminary",849109.37,3858393.1,3351267,22.01,2023-10-01,117.8,13219,65,62.8,3.4
123,2023,10,"MD","Preliminary",606014.14,4109932.3,2703609,14.75,2023-10-01,117.8,13219,65.3,63.8,2.3
124,2023,10,"ME","Preliminary",185959.04,879090.49,863082,21.15,2023-10-01,117.8,13219,59.4,57.4,3.4
125,2023,10,"MI","Preliminary",1054526.1,7748779.4,5083959,13.61,2023-10-01,117.8,13219,62.3,59.7,4.2
126,2023,10,"MN","Preliminary",631246.73,5162663.9,2895503,12.23,2023-10-01,117.8,13219,68.1,66.2,2.8
127,2023,10,"MO","Preliminary",576258.22,5619481.9,3240455,10.25,2023-10-01,117.8,13219,63.2,61.1,3.3
128,2023,10,"MS","Preliminary",441201.54,3988783.4,1617763,11.06,2023-10-01,117.8,13219,53.9,52.1,3.2
129,2023,10,"MT","Preliminary",129935.89,1155354.1,681720,11.25,2023-10-01,117.8,13219,63.1,61.1,3.3
130,2023,10,"NC","Preliminary",1159078,10077850,5755394,11.5,2023-10-01,117.8,13219,60.9,58.7,3.6
131,2023,10,"ND","Preliminary",188621.61,2394172.4,482716,7.88,2023-10-01,117.8,13219,69,67.7,1.9
132,2023,10,"NE","Preliminary",226437.93,2535719.4,1128993,8.93,2023-10-01,117.8,13219,69,67.2,2.5
133,2023,10,"NH","Preliminary",168812.89,806314.23,764600,20.94,2023-10-01,117.8,13219,65.1,63.4,2.6
134,2023,10,"NJ","Preliminary",794002.93,5344665.7,4255078,14.86,2023-10-01,117.8,13219,64.8,61.7,4.8
135,2023,10,"NM","Preliminary",222538.15,2318356.6,1068966,9.6,2023-10-01,117.8,13219,57.3,55,4
136,2023,10,"NV","Preliminary",317673.07,2926730.5,1469781,10.85,2023-10-01,117.8,13219,62.9,59.6,5.3
137,2023,10,"NY","Preliminary",1982043.1,10701986,8580295,18.52,2023-10-01,117.8,13219,61.4,58.6,4.6
138,2023,10,"OH","Preliminary",1307658.6,11788996,5732163,11.09,2023-10-01,117.8,13219,61.8,59.6,3.6
139,2023,10,"OK","Preliminary",500642.58,5294855.2,2197601,9.46,2023-10-01,117.8,13219,63.3,61,3.5
140,2023,10,"OR","Preliminary",423443.56,4148394.2,2129858,10.21,2023-10-01,117.8,13219,62.5,60,4
141,2023,10,"PA","Preliminary",1288820.9,10602493,6270322,12.16,2023-10-01,117.8,13219,62.3,60.2,3.4
142,2023,10,"RI","Preliminary",137737.94,565872.36,519852,24.34,2023-10-01,117.8,13219,63.7,61.6,3.4
143,2023,10,"SC","Preliminary",671233.81,6449497.9,2936126,10.41,2023-10-01,117.8,13219,57.4,55.7,3
144,2023,10,"SD","Preliminary",107710.4,1019034.7,513524,10.57,2023-10-01,117.8,13219,68.1,66.7,2.1
145,2023,10,"TN","Preliminary",820857.04,7658196.3,3579540,10.72,2023-10-01,117.8,13219,59.6,57.6,3.5
146,2023,10,"TX","Preliminary",4168327.9,42487134,14180812,9.81,2023-10-01,117.8,13219,64.4,61.9,3.9
147,2023,10,"UT","Preliminary",234382.04,2584869.3,1358172,9.07,2023-10-01,117.8,13219,69.6,67.7,2.8
148,2023,10,"VA","Preliminary",1065961.6,10180498,4107430,10.47,2023-10-01,117.8,13219,66.5,64.5,3
149,2023,10,"VT","Preliminary",75649.68,415389.86,382962,18.21,2023-10-01,117.8,13219,65,63.5,2.3
150,2023,10,"WA","Preliminary",658747.25,6746490.9,3763034,9.76,2023-10-01,117.8,13219,64.3,61.5,4.4
151,2023,10,"WI","Preliminary",676040.5,5457276.8,3194160,12.39,2023-10-01,117.8,13219,66,63.8,3.4
152,2023,10,"WV","Preliminary",264928,2546113.8,1027053,10.41,2023-10-01,117.8,13219,55.2,52.8,4.3
153,2023,10,"WY","Preliminary",118042.73,1390555.3,356545,8.49,2023-10-01,117.8,13219,63.7,61.8,2.9
154,2023,9,"AK","Preliminary",96008.12,455984.75,357259,21.06,2023-09-01,117.6,13247,65.4,62.4,4.5
155,2023,9,"AL","Preliminary",918817.84,7856241.5,2767422,11.7,2023-09-01,117.6,13247,57.5,55.9,2.7
156,2023,9,"AR","Preliminary",479359.54,4718833.4,1718416,10.16,2023-09-01,117.6,13247,57.6,55.6,3.6
157,2023,9,"AZ","Preliminary",1016639.4,8085445.1,3394519,12.57,2023-09-01,117.6,13247,62.3,59.7,4.2
158,2023,9,"CA","Preliminary",6035586.9,22347583,15695698,27.01,2023-09-01,117.6,13247,62,58.9,5
159,2023,9,"CO","Preliminary",606725.88,4875409.3,2869678,12.44,2023-09-01,117.6,13247,68.4,66.2,3.3
160,2023,9,"CT","Preliminary",538016.38,2248839.5,1692310,23.92,2023-09-01,117.6,13247,64.3,61.8,4
161,2023,9,"DC","Preliminary",157920.94,969138.33,340988,16.3,2023-09-01,117.6,13247,72,68.5,4.9
162,2023,9,"DE","Preliminary",132584.74,1018945.1,525054,13.01,2023-09-01,117.6,13247,61,58.6,4.1
163,2023,9,"FL","Preliminary",3363700.7,24487739,11543136,13.74,2023-09-01,117.6,13247,59.7,57.9,3
164,2023,9,"GA","Preliminary",1483345,12808754,5385154,11.58,2023-09-01,117.6,13247,61.7,59.7,3.2
165,2023,9,"HI","Preliminary",282347.61,768211.88,506599,36.75,2023-09-01,117.6,13247,60.1,58.3,3
166,2023,9,"IA","Preliminary",460456.05,4394273.5,1711033,10.48,2023-09-01,117.6,13247,67.5,65.4,3.1
167,2023,9,"ID","Preliminary",181375.41,1960725.3,998179,9.25,2023-09-01,117.6,13247,62.9,60.8,3.3
168,2023,9,"IL","Preliminary",1272657.9,11015914,6098257,11.55,2023-09-01,117.6,13247,64.5,61.4,4.7
169,2023,9,"IN","Preliminary",887642.42,8219969.7,3363225,10.8,2023-09-01,117.6,13247,63.3,61.1,3.5
170,2023,9,"KS","Preliminary",422654.53,3823020.2,1603885,11.06,2023-09-01,117.6,13247,66.4,64.7,2.6
171,2023,9,"KY","Preliminary",599617.05,5979200.2,2353414,10.03,2023-09-01,117.6,13247,57.1,54.6,4.3
172,2023,9,"LA","Preliminary",830895.29,9451117.6,2490072,8.79,2023-09-01,117.6,13247,58.6,56.3,3.8
173,2023,9,"MA","Preliminary",993661.27,4476127.1,3317311,22.2,2023-09-01,117.6,13247,65,62.8,3.3
174,2023,9,"MD","Preliminary",711737.24,4978105.8,2701608,14.3,2023-09-01,117.6,13247,65.2,63.8,2.2
175,2023,9,"ME","Preliminary",192512.29,961781.11,831671,20.02,2023-09-01,117.6,13247,59.4,57.5,3.2
176,2023,9,"MI","Preliminary",1092915,7968884.7,5073908,13.71,2023-09-01,117.6,13247,62.3,59.8,4.1
177,2023,9,"MN","Preliminary",683704.35,5385370.3,2889333,12.7,2023-09-01,117.6,13247,68.3,66.3,2.8
178,2023,9,"MO","Preliminary",824435.63,6684087.4,3296624,12.33,2023-09-01,117.6,13247,63.2,61.2,3.3
179,2023,9,"MS","Preliminary",548846.06,4928904.6,1617292,11.14,2023-09-01,117.6,13247,53.9,52.2,3.2
180,2023,9,"MT","Preliminary",128967.88,1197488.2,681287,10.77,2023-09-01,117.6,13247,63.1,61.1,3.2
181,2023,9,"NC","Preliminary",1365216.3,11814549,5741851,11.56,2023-09-01,117.6,13247,61,58.9,3.6
182,2023,9,"ND","Preliminary",184083.89,2256578.9,481903,8.16,2023-09-01,117.6,13247,69.1,67.8,1.9
183,2023,9,"NE","Preliminary",276317.6,2842090.4,1130046,9.72,2023-09-01,117.6,13247,69.1,67.4,2.5
184,2023,9,"NH","Preliminary",180724.81,907734.4,760241,19.91,2023-09-01,117.6,13247,65.1,63.5,2.5
185,2023,9,"NJ","Preliminary",987000.04,6233238.7,4254108,15.83,2023-09-01,117.6,13247,64.9,61.8,4.8
186,2023,9,"NM","Preliminary",265130.03,2563247,1067497,10.34,2023-09-01,117.6,13247,57.3,55,3.9
187,2023,9,"NV","Preliminary",477738.53,3405353.2,1468663,14.03,2023-09-01,117.6,13247,62.9,59.6,5.2
188,2023,9,"NY","Preliminary",2523937.1,12643373,8592508,19.96,2023-09-01,117.6,13247,61.4,58.6,4.4
189,2023,9,"OH","Preliminary",1350865.4,12056633,5727817,11.2,2023-09-01,117.6,13247,61.9,59.6,3.6
190,2023,9,"OK","Preliminary",645057.15,6284994,2195126,10.26,2023-09-01,117.6,13247,63.3,61.1,3.5
191,2023,9,"OR","Preliminary",414678.51,4068999.9,2126410,10.19,2023-09-01,117.6,13247,62.4,60,3.9
192,2023,9,"PA","Preliminary",1435456.8,11691410,6261190,12.28,2023-09-01,117.6,13247,62.3,60.2,3.3
193,2023,9,"RI","Preliminary",150888.77,670135.46,516577,22.52,2023-09-01,117.6,13247,63.7,61.6,3.2
194,2023,9,"SC","Preliminary",811194.45,7291542.7,2948365,11.13,2023-09-01,117.6,13247,57.5,55.8,3
195,2023,9,"SD","Preliminary",118589.25,1111437.6,512304,10.67,2023-09-01,117.6,13247,68.2,66.8,2.1
196,2023,9,"TN","Preliminary",1003331.8,9402051.5,3578085,10.67,2023-09-01,117.6,13247,59.7,57.7,3.4
197,2023,9,"TX","Preliminary",5309501.8,49062446,14114610,10.82,2023-09-01,117.6,13247,64.5,62,3.9
198,2023,9,"UT","Preliminary",266203.14,2796673.5,1355083,9.52,2023-09-01,117.6,13247,69.7,67.8,2.8
199,2023,9,"VA","Preliminary",1135655.9,10590039,4090083,10.72,2023-09-01,117.6,13247,66.4,64.5,2.9
200,2023,9,"VT","Preliminary",76515.88,430216.14,383305,17.79,2023-09-01,117.6,13247,64.9,63.5,2.2
201,2023,9,"WA","Preliminary",615082.06,6437652.6,3748107,9.55,2023-09-01,117.6,13247,64.3,61.6,4.3
202,2023,9,"WI","Preliminary",738389.66,5694131.3,3202241,12.97,2023-09-01,117.6,13247,66,63.8,3.4
203,2023,9,"WV","Preliminary",250003.32,2471321.5,1026213,10.12,2023-09-01,117.6,13247,55.2,52.8,4.3
204,2023,9,"WY","Preliminary",115503.54,1336606,356223,8.64,2023-09-01,117.6,13247,63.8,61.9,2.9
205,2023,8,"AK","Preliminary",101703.19,477702.27,357074,21.29,2023-08-01,117.4,13041,65.4,62.5,4.4
206,2023,8,"AL","Preliminary",1051460.3,8944484.4,2769531,11.76,2023-08-01,117.4,13041,57.4,55.9,2.5
207,2023,8,"AR","Preliminary",536772.84,5216017.6,1720131,10.29,2023-08-01,117.4,13041,57.6,55.7,3.4
208,2023,8,"AZ","Preliminary",1283340.6,10121756,3385479,12.68,2023-08-01,117.4,13041,62.3,59.8,4.1
209,2023,8,"CA","Preliminary",6938887.7,25018242,16470683,27.74,2023-08-01,117.4,13041,62.1,59.1,4.8
210,2023,8,"CO","Preliminary",707793.3,5740931.1,2869350,12.33,2023-08-01,117.4,13041,68.5,66.2,3.2
211,2023,8,"CT","Preliminary",595822.36,2493973.7,1700468,23.89,2023-08-01,117.4,13041,64.3,61.9,3.8
212,2023,8,"DC","Preliminary",161568.91,960444.66,340538,16.82,2023-08-01,117.4,13041,71.9,68.5,4.8
213,2023,8,"DE","Preliminary",147740.8,1125509.6,524777,13.13,2023-08-01,117.4,13041,61,58.6,4
214,2023,8,"FL","Preliminary",3588038.8,26956296,11532078,13.31,2023-08-01,117.4,13041,59.7,58,3
215,2023,8,"GA","Preliminary",1840902.9,14981338,5381325,12.29,2023-08-01,117.4,13041,61.7,59.7,3.2
216,2023,8,"HI","Preliminary",280552.51,793193.82,506982,35.37,2023-08-01,117.4,13041,60.2,58.4,2.9
217,2023,8,"IA","Preliminary",578235.42,5148609.7,1710589,11.23,2023-08-01,117.4,13041,67.7,65.6,3.1
218,2023,8,"ID","Preliminary",236930.34,2480023.8,996524,9.55,2023-08-01,117.4,13041,62.9,60.9,3.2
219,2023,8,"IL","Preliminary",1482536.1,12981407,6075179,11.42,2023-08-01,117.4,13041,64.4,61.4,4.6
220,2023,8,"IN","Preliminary",1019021.5,8982034.6,3358733,11.35,2023-08-01,117.4,13041,63.3,61.1,3.4
221,2023,8,"KS","Preliminary",501704.22,4414309.7,1603814,11.37,2023-08-01,117.4,13041,66.5,64.8,2.6
222,2023,8,"KY","Preliminary",684420.9,6814588.8,2349361,10.04,2023-08-01,117.4,13041,57.1,54.7,4.2
223,2023,8,"LA","Preliminary",873387.61,10040522,2491303,8.7,2023-08-01,117.4,13041,58.5,56.4,3.6
224,2023,8,"MA","Preliminary",1082789.8,4859669.2,3338278,22.28,2023-08-01,117.4,13041,65,62.9,3.3
225,2023,8,"MD","Preliminary",796125.07,5622728.7,2699892,14.16,2023-08-01,117.4,13041,65.3,63.9,2.1
226,2023,8,"ME","Preliminary",198860.08,989826.29,855865,20.09,2023-08-01,117.4,13041,59.4,57.6,3
